Start_Time,End_Time,Content,Visual_Emotion,Visual_Confidence,Text_Emotion,Text_Confidence,Audio_Emotion,Audio_Confidence
0.0,2.54,今天這一局就只想說不管了啦,sad,0.4478,sad,0.543,sad,0.7203
2.54,3.68,反正就透了,surprise,0.5633,neutral,0.9461,sad,0.5
3.68,5.58,反正就是比完賽的同胸好了,happy,0.5829,neutral,0.8349,fear,0.4034
5.58,7.58,所以就放開,happy,0.7068,concerned,0.5883,sad,0.9891
7.58,8.78,直接放開那一局,surprise,0.5568,neutral,0.7348,happy,0.8302
8.78,10.08,也許是最後一集,angry,0.4362,neutral,0.9684,sad,0.8391
10.08,12.58,因為你知道四年其實不容易,disgust,0.7203,sad,0.8076,sad,0.6299
12.58,14.58,最後把真的就是當作,happy,0.6384,sad,0.9674,sad,0.8855
14.58,16.72,就是最後一集再舉吧,disgust,0.6658,neutral,0.9372,sad,0.8292
16.72,17.56,對啊,disgust,0.633,neutral,0.7878,neutral,0.0
17.56,19.92,我今天就是選手接受的時候,happy,0.846,happy,0.9792,sad,0.8086
19.92,21.42,我就已經想哭了,disgust,0.5592,sad,0.99,sad,0.9761
21.42,25.9,就是現場人家好多人來看,fear,0.5894,neutral,0.9246,sad,0.8075
25.9,27.4,而且又不是說很近,angry,0.4078,neutral,0.8283,happy,0.4684
27.4,29.26,所以不是像上一集這樣的日本,disgust,0.5994,neutral,0.5343,sad,0.6841
29.26,32.22,然後大家都從各個地方來,disgust,0.6271,neutral,0.7078,sad,0.7334
32.22,33.62,現場為我加油這樣,surprise,0.6144,happy,0.8791,happy,0.8879
33.62,34.96,然後那來就很多人,surprise,0.6086,neutral,0.9653,happy,0.9259
34.96,38.46,在電視前面就是看我比賽,happy,0.841,neutral,0.8918,sad,0.9215
38.46,39.6,就是很感謝啦,disgust,0.5873,happy,0.9253,sad,0.61
39.6,42.6,就是雖然最後的結果沒有那麼的好,fear,0.4829,neutral,0.6125,sad,0.6562
42.6,43.8,但是我覺得就是,fear,0.6333,neutral,0.9396,sad,0.4457
43.8,45.56,都有接受到大家的,happy,0.7323,neutral,0.6453,sad,0.7818
45.56,47.0,大家的加油跟鼓勵,happy,0.7438,happy,0.7364,sad,0.8246
47.0,48.14,也很謝謝自己啦,happy,0.8079,happy,0.7517,happy,0.9982
48.14,50.04,其實就是沒有放棄吧,disgust,0.6153,questioning,0.6287,sad,0.7345
